timestamp,cpu,memory_usage,memory_swap_in,memory_swap_out,disk_read_requests,disk_write_requests,disk_read_bytes,disk_write_bytes,network_incoming_bytes,network_outgoing_bytes,network_incoming_packets,network_outgoing_packets,label
2021-08-21 22:34:30+00:00,0.8,359.88,0.0,0.0,0.0,0.0,0.0,0.0,26664.0,44880.0,405.0,680.0,syn-flood
2021-08-21 22:34:35+00:00,1.4,360.12,0.0,0.0,0.0,0.0,0.0,0.0,93666.0,48684.0,1420.0,738.0,syn-flood
2021-08-21 22:34:40+00:00,0.8,360.12,0.0,0.0,0.0,0.0,0.0,0.0,21720.0,69970.0,321.0,1049.0,syn-flood
2021-08-21 22:34:45+00:00,0.4,359.9,0.0,0.0,0.0,0.0,0.0,0.0,2664.0,18498.0,36.0,273.0,syn-flood
2021-08-21 22:34:50+00:00,1.2,359.9,0.0,0.0,0.0,0.0,0.0,0.0,3746.0,4062.0,45.0,38.0,syn-flood
2021-08-21 22:34:55+00:00,0.4,359.92,0.0,0.0,0.0,0.0,0.0,0.0,2046.0,10348.0,30.0,144.0,syn-flood
2021-08-21 22:35:00+00:00,0.2,359.92,0.0,0.0,0.0,0.0,0.0,0.0,696.0,858.0,11.0,13.0,syn-flood
2021-08-21 22:35:05+00:00,0.2,359.91,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,9876.0,17.0,150.0,syn-flood
2021-08-21 22:35:10+00:00,0.2,359.91,0.0,0.0,0.0,0.0,0.0,0.0,858.0,8118.0,14.0,123.0,syn-flood
2021-08-21 22:35:15+00:00,0.2,359.88,0.0,0.0,0.0,0.0,0.0,0.0,456.0,858.0,7.0,13.0,syn-flood
2021-08-21 22:35:20+00:00,0.4,359.88,0.0,0.0,0.0,0.0,0.0,0.0,636.0,858.0,10.0,13.0,syn-flood
2021-08-21 22:35:25+00:00,0.2,359.91,0.0,0.0,0.0,0.0,0.0,0.0,618.0,660.0,10.0,10.0,syn-flood
2021-08-21 22:35:30+00:00,0.2,359.91,0.0,0.0,0.0,0.0,0.0,0.0,978.0,966.0,16.0,15.0,syn-flood
2021-08-21 22:35:35+00:00,0.2,359.88,0.0,0.0,0.0,0.0,0.0,0.0,876.0,924.0,14.0,14.0,syn-flood
2021-08-21 22:35:40+00:00,0.2,359.88,0.0,0.0,0.0,0.0,0.0,0.0,720.0,912.0,11.0,14.0,syn-flood
2021-08-21 22:35:45+00:00,0.2,359.84,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1338.0,20.0,21.0,syn-flood
2021-08-21 22:35:50+00:00,0.4,359.84,0.0,0.0,0.0,0.0,0.0,0.0,876.0,1254.0,14.0,19.0,syn-flood
2021-08-21 22:35:55+00:00,0.2,359.88,0.0,0.0,0.0,0.0,0.0,0.0,780.0,1164.0,13.0,18.0,syn-flood
2021-08-21 22:36:00+00:00,0.4,359.88,0.0,0.0,0.0,0.0,0.0,0.0,1068.0,1650.0,17.0,25.0,syn-flood
2021-08-21 22:36:05+00:00,0.2,359.91,0.0,0.0,0.0,0.0,0.0,0.0,878.0,1584.0,14.0,24.0,syn-flood
2021-08-21 22:36:10+00:00,0.2,359.91,0.0,0.0,0.0,0.0,0.0,0.0,738.0,1320.0,12.0,20.0,syn-flood
2021-08-21 22:36:15+00:00,0.4,359.88,0.0,0.0,0.0,0.0,0.0,0.0,876.0,1584.0,14.0,24.0,syn-flood
2021-08-21 22:36:20+00:00,0.4,359.88,0.0,0.0,0.0,0.0,0.0,0.0,756.0,1518.0,12.0,23.0,syn-flood
2021-08-21 22:36:25+00:00,0.4,359.91,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,1758.0,23.0,27.0,syn-flood
2021-08-21 22:36:30+00:00,0.2,359.91,0.0,0.0,0.0,0.0,0.0,0.0,560.0,1452.0,9.0,22.0,syn-flood
2021-08-21 22:36:35+00:00,0.4,359.88,0.0,0.0,0.0,0.0,0.0,0.0,936.0,1716.0,15.0,26.0,syn-flood
2021-08-21 22:36:40+00:00,0.2,359.88,0.0,0.0,0.0,0.0,0.0,0.0,858.0,1440.0,13.0,22.0,syn-flood
2021-08-21 22:36:45+00:00,0.4,359.91,0.0,0.0,0.0,0.0,0.0,0.0,792.0,1626.0,13.0,25.0,syn-flood
2021-08-21 22:36:50+00:00,0.4,359.91,0.0,0.0,0.0,0.0,0.0,0.0,918.0,1602.0,15.0,25.0,syn-flood
2021-08-21 22:36:55+00:00,0.2,359.88,0.0,0.0,0.0,0.0,0.0,0.0,936.0,1452.0,15.0,22.0,syn-flood
2021-08-21 22:37:00+00:00,0.2,359.88,0.0,0.0,0.0,0.0,0.0,0.0,618.0,1386.0,10.0,21.0,syn-flood
2021-08-21 22:37:05+00:00,0.4,359.88,0.0,0.0,0.0,0.0,0.0,0.0,816.0,1518.0,13.0,23.0,syn-flood
2021-08-21 22:37:10+00:00,0.4,359.88,0.0,0.0,0.0,0.0,0.0,0.0,876.0,1386.0,14.0,21.0,syn-flood
2021-08-21 22:37:15+00:00,0.2,359.91,0.0,0.0,0.0,0.0,0.0,0.0,420.0,1428.0,7.0,22.0,syn-flood
2021-08-21 22:37:20+00:00,0.2,359.91,0.0,0.0,0.0,0.0,0.0,0.0,696.0,1518.0,11.0,23.0,syn-flood
2021-08-21 22:37:25+00:00,0.4,359.86,0.0,0.0,0.0,0.0,0.0,0.0,816.0,1386.0,13.0,21.0,syn-flood
2021-08-21 22:37:30+00:00,0.2,359.86,0.0,0.0,0.0,0.0,0.0,0.0,798.0,1320.0,13.0,20.0,syn-flood
2021-08-21 22:37:35+00:00,0.2,359.86,0.0,0.0,0.0,0.0,0.0,0.0,996.0,1584.0,16.0,24.0,syn-flood
2021-08-21 22:37:40+00:00,0.4,359.86,0.0,0.0,0.0,0.0,0.0,0.0,978.0,1506.0,15.0,23.0,syn-flood
2021-08-21 22:37:45+00:00,0.2,359.82,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,2106.0,22.0,33.0,syn-flood
2021-08-21 22:37:50+00:00,0.2,359.82,0.0,0.0,0.0,0.0,0.0,0.0,774.0,2376.0,12.0,36.0,syn-flood
2021-08-21 22:37:55+00:00,0.2,359.86,0.0,0.0,0.0,0.0,0.0,0.0,1272.0,2508.0,20.0,38.0,syn-flood
2021-08-21 22:38:00+00:00,0.2,359.86,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,3036.0,17.0,46.0,syn-flood
2021-08-21 22:38:05+00:00,0.2,359.89,0.0,0.0,0.0,0.0,0.0,0.0,1256.0,2508.0,20.0,38.0,syn-flood
2021-08-21 22:38:10+00:00,0.6,359.89,0.0,0.0,0.0,0.0,0.0,0.0,1134.0,2880.0,18.0,44.0,syn-flood
2021-08-21 22:38:15+00:00,0.4,359.89,0.0,0.0,0.0,0.0,0.0,0.0,894.0,2772.0,14.0,42.0,syn-flood
2021-08-21 22:38:20+00:00,0.4,359.89,0.0,0.0,0.0,0.0,0.0,0.0,1194.0,2838.0,19.0,43.0,syn-flood
2021-08-21 22:38:25+00:00,0.2,359.89,0.0,0.0,0.0,0.0,0.0,0.0,1272.0,3036.0,20.0,46.0,syn-flood
2021-08-21 22:38:30+00:00,0.4,359.89,0.0,0.0,0.0,0.0,0.0,0.0,834.0,2706.0,13.0,41.0,syn-flood
